,Sentiment,Message
676314,0,"All I want to do is crawl into bed. Instead, I'm off to work. And I have a sneaking suspicion I'll have to float  Fingers crossed!"
391475,0,I finally got decent at the Uncharted 2 Beta.  I had a great time playing with @fleshribbon last night.  I enjoyed his grenade in my face 
460707,0,"Static was too much for me, maybe better @ karaoke tomorrow. headed to DNA Lounge, wishing it was a meatsf.com night  #SFO #FB"
863572,4,@jencorbett well in that case.....I  just kind of want a really big penis. no....that REALLY doesn't sound right 
279794,0,Will these exams ever end  &lt;--- right now it sounds like a rhetorical question
648420,0,All week i've woken up in the middle of the night drenched in sweat.  
300083,0,@TCharie Make him follow meeeeee 
28058,0,@weesweetmarie  Sorry to hear the bad news.    Hope the rest of your Sunday is better.
462749,0,My sisters hamster has the squeakiest wheel  stupid hamster.
1028109,4,ate too much food tonight muahahah 
663534,0,Sunny at a beautiful 90 degrees.....I'll be sad to leave 
1145824,4,"Quote of the day - &quot;your voice is like a mix of Fergie and Jesus.&quot; I thought I would do a fun quote today, quess what movie it's from. "
1214251,4,Enjoyed watching the MTV Movie Awards today. There was a few good laughs there...  
1589871,4,"@bawnyebawn hmm this indoors concept interests me :p i shall be, with little money, but be there all the same  im guessing about 7/8ish?"
945673,4,@maikeru76  THANKS 
1491088,4,Something familiar and strangely comfortable about unrequited love. Don't have to worry about that anymore 
1532474,4,@ebassman  LUCKY FOR SOME LOL  HAPPY SNOOZING XX
1096905,4,My Boyfriend likes New Divide very much  He played it 3 times at night 
1552194,4,@riickyy it was! 
28485,0,Ok back to my nap..its so hard though..can't force sleep. But I need to take advantage of when my kiddies r getting shuteye 
665299,0,"@sophiebourne tisn't particularly scary, just thoughtful, can't make bo peep tomorrow going to a bday party with lauren "
474480,0,Such a bad bad morning my fucking lord 
341018,0,isPlayer Has Died! Sorry 
147860,0,"Crying, crying and more crying. I have officially left high school "
73919,0,@moriesbel and again I missed the mmm's from moriesbel 
411062,0,"Math Still hurts. Yes, i'm still doing the same paper "
1089605,4,@JonathanRKnight Night. 
870953,4,"Well, that's that done "
1324308,4,"@BainMercerGirl thanks! juz added you to facebook. your site has potential, keep rocking my friend "
600587,0,Contract-free tethering on #iphone 3.0. i haz it.  Too much green stuff in my sandwich. i also haz it 
270352,0,been a long time since i had a talk wid her.......really miss her 
1429527,4,@JulieKapanke I'm gonna be living in LA come the 22nd of June. We gotta hang. I'm so stoked 
94483,0,my thoughts still revert back to him. its been a while yet i still can't help but remember how right it felt to be in his arms.   too  ...
1386171,4,Yum yum 1 day old pizza and Mayo for mid morning snack .... Dirty but good 
960154,4,Ha. I got 9 twitters this morning....  Life Is Like A Coaster. Enjoy It B4 It Ends 
1186739,4,My hair is so long its at like my mid back. I love it  its almost as long as mileys!
638442,0,"Today I,m going to chill....haha. Because I,ve a mussel ack all over  Food yesterday was succes(delicious meatballs) mjammm"
163581,0,@ireallydohate nooooo dont do that.  I just get a rash of nobodies trying to sell me something. 
245007,0,"Been out for dinner with the grandma, revised and going out with Chel and Abi in a bit. Don't want to do maths test tomorrow "
852923,4,@Miss604  just letting you know - Calhouns Vancouver mom meet up moved up to 1:30 #YMCoffee 
51688,0,@OfficialAshleyG  .. no person should ever be treated the way those &quot;fans&quot; treated Rob 
1428699,4,just went grocery shopping (aka SODA shopping) and now I'm off to dinner and a show at city with my family 
222208,0,Link: Have a Polaroid Summer - annienguyen: Beautiful! They need to bring back the Polaroid.  http://tumblr.com/xqs1wstmf
125239,0,@Dojie AHH i bet its nto pc tho 
284564,0,I hate sick days  they r never ever fun...
117605,0,finishing off english media work. eugh. we never get any homework about writing arcticles + stuff 
425626,0,Pogo Stick Fail [Gif]: He tried to do a backflip.  http://tinyurl.com/m7762g
292493,0,@Fhaps Not yet  but it looks great in 720p
1225588,4,@jennainfantas -I wrote yur dad &amp;mom&amp;taylor this morning&amp;didnt want u 2 feel left out-so hows was yur cafe this morning? Have a great day 
1543484,4,@spacebetween41 ha same to you dear 
761111,0,is gonna go home today.  im not ready to go back to stupid del rio.....
1343678,4,just washed my car 
1035292,4,&quot;Do u have any bigger clothes or do u only shop at baby gap&quot; hahaha. This movie is awesome!.. So many quotes!! 
670679,0,@NikkiSAA they don't deliver to the crib 
312185,0,@mousebudden DAMMIT! I kno u still broadcasting but its saying ur not! And i was in the middle of watchin Tahiry go off in that clip lol 
4833,0,Wicked was mentioned on This morning - I heard it all the way from upstairs - Alexia Khadime is coming back in May and Kerry is leaving 
1461705,4,"watching friend THS, while ironing "
621474,0,"@ToddyD i'm sorry, but you suck balls.  this makes me sad!"
470485,0,INFLUENZA A H1N1  INVADED THIS WORLD
1196680,4,@geminiriver I got a lot done. I anticipate reaching my goal tomorrow. 
1462264,4,"OK the agenda today is watch trash tv, watch the finale of Ugly Betty and the hills, go to tescos and purchase hangover goods  mmmmmmm"
1231612,4,Follow ------&gt;&gt;&gt; @vagelisv  he's very helpful and funny  too    âº
559124,0,"@cityslipper Morning, what are distractions? i am hoping for the same kind of productivity 2day. getting molar pulled 2night, ouch! "
1596119,4,"@MacTeabird lmao, sounds good "
613412,0,Jurassic Park theme is stuck in my head now. 
843008,4,@NickyDiamonds nice... I want one! 
618541,0,bout to go to the gym for a couple of hours  lol im still sore from the other day
1536049,4,my grad party was awsome!! 
1488393,4,Done cleaning house &amp; doing laundry for the 2nd time in 4 days. It's got a sparkle to it. Gonna take a break for a couple of days 
1379567,4,ran a 7km marathon on daccount of world envrmnt day  time has come 2tke a more serious interest &amp;tke actn 2preserve &amp;protect our envrmnt.
552213,0,@AngeliqueBates U NOT FOLLOWIN ME 
333913,0,"Hey @jonasbrothers *type your question here* #jonasliveonfb Why can't you go to Barcelona, Spain? Please to explain it "
682047,0,eating salsa and cream cheese because it reminds me of nicole and i miss her.  and also watching chelsea lately. love her&lt;3
1497920,4,@kayteaaa ooooo send me a peecture please 
276376,0,#FollowFriday @bersheba hi sorry I am watching bad news here 
578078,0,@TylerHudg  cant come again tonight. don't have a ride
679197,0,@wmat woo!  I have a stack of vinyl that needs listening.. I just don't have room for a turntable 
1488269,4,heck yess!  just gotta twitter  dinner tonight with dadddddy!
1119426,4,lazy saturday with a cup of cubano!!!!! BLISS 
395756,0,@CarCarXD SHIIIIT I'm so sorry i've been asleep since half 1!  Don't think i can make it.. My Mam's gone cinema now with Maria...
13799,0,i confess. i am never gonna be thin again if keep consuming crap. there i said it. 
529194,0,@JessicaCabral haha even though we didn't go 
56693,0,"@euan Google has ruined feedburner IMO. Used to be great, lite feed tool. Now it's good for v.little, while G-Analytics is overkill. "
106126,0,"So I took some awesome pictures today for the documentation of my summer, and erased them all somehow   If only I was good with computers."
1018054,4,I think my ex-boyfriend should probably stop posting passive aggressive tweets about me. just sayin 
879578,4,"@architeuth1s Sounds great but I am based in Sydney so might be a bit too far for me to go, thanks for the thought though "
506643,0,is writing some KICKass shizz. Missin my boo 
1487677,4,"@toryrascal I'm going to have to stop following you! I'm not watching it yet, and don't want to know the result! I'll resume tomorrow lol "
970401,4,@captspastic that it is 
311541,0,Wishing i was on holiday....... Really not in the mood 2 be @ work 
1298923,4,&quot;as a fellow power 150 blogger&quot; ehem. have you ever read my genl thinking in ranking lists? Guess not 
12662,0,"is still revising. When will this hell on earth end? Ok, wait. Not that bad but still! Other sixth formers will know exactly what I mean! "
1277967,4,@petewentz Life works that way. 
90877,0,"english homeworrk, texting ardenn &amp; waiting for my brother to come home and order my ticketss! thennn bedddd, schoool in the morning "
901197,4,@prateekgupta yeah.. gives me something useless to crib abt 
121030,0,isn't sleeping as well as he'd like 
71042,0,@mistressmia scones! i haven't had awesome scones since my great grandmother passed away. seems the tradition was not passed on 
281175,0,@thevowel damn how I wanted to be there too... 
956326,4,"@jasonlinas Thank you sir, I hope the same for you  Good day to kick back."
680130,0,"@annehelena I don't have the internetz in my car  But luckily I have a raddio! So, we're off!"
76454,0,it's going to be a quiet day w/o @heatherjoy_76 
291291,0,I hate the london transport sometimes.  All I want to do is get home and its taking far far too long! 
503730,0,sigh.......what a terrible morning 
973133,4,@Reinachango have a save flight a great time in downunder 
1523989,4,"@FootprintBooks Thanks for the tip , will try and get there. "
1242287,4,@souljaboytellem iv always liked u  x
1194651,4,@RohanRamsay lmao. I'm trying something new. Trade meets cunt. 
184231,0,"Tomorrow is a busy day! Going to get my books for college, get a parking spot, clean out pool, car, and bedroom!!! Then WORK!!! "
594751,0,http://twitpic.com/7ow1w - a little message to best friends that are apart! i miss my best friend 
956685,4,@MooTheSuperCow that's great for me. plus it's cheap night too  thankyouuu
827,0,"My goodness, it's freezing down here !!!!! "
692915,0,Following news directly 
30071,0,"A iced hazelnut coffee from McDs sounds great right about now, too bad I've given up caffeine.I guess I'll have to stick to my ice water "
1592295,4,@BigDaveP I can't get over that Letterman is from Indianapolis where I live!  People here have a lot more CLASS! 
51167,0,@stephentotilo and whilst Sony would repair your console they unfortunately refused to do anything for him 
28664,0,Im almost in ohio.. But there is hardcore traffic.. 
583356,0,@mrdink I asked if we could stay later for the concert...no go.  I'm at home.  
1213916,4,@Bizarre57 get a spray bottle of cold water &amp; spray in front of the fan 
1469535,4,"@bhanowe got the steps already. keknya sih bisa, dari steps itu kan ada komen2nya, ga ada yg komplain sih. jadi keknya bisa "
339055,0,"Apparently the ending of the film is a lot more uplifting, leaving out the tragic end of the book. "
237870,0,@dizyodude: Alex!!! Why didnt you come  sad...Masaya outing haha Walang tulugan and videoke galore  Not much alcoholic drinks though :-/
940102,4,"@danslee sounds serious man, rest need you, well get soon "
1335087,4,"Good morning Tweets!  I see that many of you checked out the unique wedding gift ideas in Episode 3, Part 2 at WeddingWire.tv.  "
1146783,4,@astridaml @absolutraia makan makaaaan! Tar maag lohh.. 
347193,0,at work trying to keep my mind off of him. This distance aint no joke. 
665920,0,"Realized WHY being a lesbian would suck so much - PMS two weeks of the month, every month? NO THANKS. Need a new pill. "
1018189,4,Hope you all enjoyed the show - laterz people  Have a great weekend. Forecast says hotter than Spain here in the UK!!
39113,0,Still stuck on the tube 
316741,0,cant smile properly  http://plurk.com/p/xv7cs
421916,0,"Ugh This Is Not Good. Just Because Of My Freak'n Dream Last Night, I Feel Different  Im Going To Bed Soon. Everyones Asleep Anyways."
748166,0,i miss someone special 
1440566,4,i dunno whats is twitter LOL i just came here 4 OPRAH!!  Saw her twittering on her show lolol heeey oprah we love u here
896387,4,@wayne2001bc Thanks for reminding me.  That's one thing to look forward to.  
104271,0,@carditz me 2!  cause i always fear the  police are after me again
1565424,4,@jeswearspants I know right? 
178744,0,@manthigh81 I didn't watch it 
704085,0,@Kiwidreamer Very doubtful 
1267332,4,the corrs - what can i do ahhh... 
1206667,4,@canzgirl they were delicious 
112779,0,@TeamCyrus oh too late  nm
63167,0,"Trying to plug in a CSS framework, wish I had more time. "
1296828,4,12 days til my bday! OOOOOOH YEA! 
590622,0,"@karawr yeah me too, I've got smokers/sugar teeth haha. I hear its expensive though? "
538641,0,Praying for the Ikes as the family deals with Mrs. Ike's cancer discovered too late to treat. Father also has heart trouble. 
534543,0,gosh im so unsure of my backgrounds. i changed it 5 min. ago nd again now nd i dont like this one  lol
868592,4,"@cupcake__ arrrr we both replied to each other over different tweets at the same time  , i'll see you then, Duno where the hell Kateyy is!"
1035342,4,@bifflawson LoL... The lion king!  Rooaarrrrrr
444727,0,just waking up from the most wonderful dream. i hate when that happens 
368953,0,I feel bad for being tired. Ugh. I'm a bad person.  Matt's family is having a much worse day and I had a nap!
765249,0,@martingoode no car yet - no idea what they're doing with it 
1549101,4,About to leave work so I will see you all later! 
835042,4,"@newjerseyphil I am actually preparing the package for the accountant, ;) who is waiting for me tomorrow with a stick in hand "
556433,0,@dannywood It's hardly a full service if you're not visiting the southern hemisphere (ie. Australia)! Half service actually! 
1290435,4,I'm a princess in a 200sqm castle 
1565934,4,"@Norasha_Nya is it a phone or is it a crunchwrap? phone, crunchwrap? maybe it's a cameraphone crunchwrap "
1264864,4,Should I Get U Now Or Later HHMMM 
620329,0,am running out of orange juice :s - worse than having nee pot this 
524361,0,is so confused 
70108,0,@BeejayBeejay ist aber auch Adobe Air 
1200125,4,"@AldoRisolvo you're welcome, I really like it. Simple yet effective. And joyful. I'd hang it in my home "
1228400,4,@jobadge Knew we should have just bid for the Weasel to develop his own television series 
1137397,4,Yay! They landed! 
561588,0,@Simpsdj  Get better soon.  Or just don't give it me.
557735,0,@iorangetee I can believe it  it's teen choice after all. Yet I know adults who would have voted for Twilight too. LOL not my cup of tea
1145260,4,HARPERS ISLAND! 
78991,0,Not being able to talk as much on TS because of coughing = fail. 
41185,0,"Goodbye Corner Gas, I will miss you "
96171,0,"Back at customer. Skipped breakfast, too many loud senior people at hotel "
1576686,4,@TheRCullen Good. Haha. Put in a good word for me. 
1506164,4,mitchel musso is waaaay amazing  I love his c.d. &lt;3
621356,0,@JCuabs mx2004 is a sad sad story 
51235,0,hears Jehovah's Witnesses ringing his doorbell. Maybe I should convert them to The Latter Day Saint's Of O'Day? Sooo tired still 
443737,0,@jaderoberts91 yes was good 2c them all again. the mtgs were good.2. they headed back down down about 6.30pm so will b late nite 4 them 
1401469,4,ok lemme get to work...get this over with so I can hit the galleria 
567793,0,@AJsPlayhouse albertsons had ran out if the $2 tickets my husband went to several albertsons had no luck 
437995,0,"Guests came in the morning saying they'd had no hot water in the Barn  Lightening on Friday had melted the Immersion timer, trashed..."
1420771,4,"@Rorzshach I will do  now, or in a while?"
204029,0,feels sad  only one person can make her feel better xxx
1530887,4,@georgiedrew was that a positive confession?? I believe todays load will be strangely LESS taxing than usual 
757328,0,@LetoyaTamera I already did EARLY fathers day morning...12:55am 2days of labor tho... 9lbs 2oz..Gave me a 2nd degree tear 
64026,0,bored doing homework 
1000054,4,"http://twitpic.com/5ofuy - Me getting ready for the last time,looking like a right herbert "
1349793,4,"20 doughnuts for Monday morning then  I should be in some sort of negotiation role, not IT. I am wasted "
75202,0,"All nighter leads to sending 85% of my project off to my committee with an upbeat, optimistic email. Sometimes the bear gets you, etc. "
894295,4,@fliplalaki here is the distraction you asked for 
944826,4,@eriklebsen  It's a fun list. I like the Mario one. Do that.
1042877,4,@30SECONDSTOMARS: Thank's for posting these videos .... Your are so funny and crazy .... I would yo be with you!! Now I go to work 
1016615,4,I've forgotten how to write - I mean with a pen &amp; paper! When I have to write a check it is painfully slow  http://ff.im/38OZU
243696,0,uhh im so ready for this all to be over 
408290,0,Is having a &quot;hard&quot; time due to low intake of fibre this few days 
1438833,4,LOL. All my friends are text brigade-ing me haha. I have the best friends ever. 
81871,0,a little bit sad.  kirk and spock may have killed my favorite tv show 
1545257,4,"@cakelulu Oooh cake!! I'd like to see that later Jane. I'm sure even if it's complex, you can work around it. You're a genius that way! "
1400133,4,@doodlezkennedy moonbeam! you're jumper order just came thru! Girl you're going to be looking so FrSH in your @frshwear 
1360791,4,@Isshell time to pack it in 
1420444,4,"@MamaGaea I got one today, and its amazing! "
476452,0,@davebarnesmusic thanks... Now I am going to have nightmares just from the title. 
381817,0,ugh its soo akward to be happy when people are depressing you 
358939,0,@Its_SiAN im not havin them nxt yr ill av 2 pay 4 em 
1050361,4,hate being sick....TGIF!!! time for fun as soon as i get out of work. 
230193,0,@Allison meh? David Lynch? We had no time 4 it  just stopped by 2 c if it was still on. Every 1 was @ the private gala yesterday anyways
724545,0,@iamjonathancook what's wron? 
1102613,4,Big radio show last night  Thanks heaps to the lovely @CallyGage for the amazing guest mix! Had loadsa great feedback already 
263006,0,@LBJJ9 fuckingzac efron won? Wtff  and emimen just got made n left haha u should had it on haha
1380488,4,"Welp, I'm about to take a picture and post it..then I'm gonna go to sleep!  haha. Tweet me!"
1347437,4,Just worked out with chuck.  and everything about that sentence is awesome 
837726,4,Sun is shining time to put on my yellow thinking hat like an edward de bono 
987520,4,@geehall1 almost being the word! no cigar though... your new vid was good...forgot to say i watched it earlier 
531062,0,ver the day the earth stood still.. alguÃ©m tem algumas ideias de filmes aÃ­? 
339932,0,"at work for 4 1/2 more hours. I had a dream where i met some really nice people, i woke up and was sad that it was only a dream "
368675,0,Glorious evening! Beautiful sunset! Hot air balloons in the sky!  Mattress in back of truck.  *Nikki*
5217,0,pet society aint working 
496791,0,Still not happy about the 8am cancelled meeting I came in for 
195094,0,gorgeous day again and have to work 
919627,4,"just got back from footy, thankgod eagles won "
1357981,4,There are no Boundarieeeeeeeees! 
654714,0,@mandaxarchuleta aww i miss you tooo D; it sucksssss &lt;3 i gotta go now though  iloveyouu&lt;3
1364275,4,Awesome!!! We got the isolated stand for #LGP final presentation!!!  #kpsw [@goncalossilva]
1163968,4,"@northernsummer ??????  ???????, ????? ?????? "
24634,0,missing babe.  love youuuuu.
649064,0,going to yonder penicuik with ye olde board of skating tired as (5am) so might have to miss out on the step up jam  p.s paris hilton STFU!
186381,0,@RecoverHealth Appreciate it ... but unfortunately link isn't working 
1108242,4,"home  going to spend the day with the little sis. nails, oil change, etc.."
1565004,4,@NEWS25lancewilk glad to know you are a pencil guy.  see you tomorrow!
446540,0,@jordanknight The website isn't working   I wanna vote!
1520982,4,@jonasbrothers http://twitpic.com/7ev20 - Big Rob is just plain AWESOMEE. 
573807,0,"@3syllables hahahhaa i'm dying, man. i missed these somehow. sorry about your dream. i hate that. "
174414,0,As if the day couldn't get any worse! Am once again an involuntary audio audience to the (not so) domestic bliss emanating from next door 
573514,0,"really hope @BarackObama &amp; company don't squander the last, best chance we've got at healthcare reform, but they seem intent on cowardice "
1466680,4,is working her way through her history revision and is starting to feel a bit better 
152000,0,gay marriage ban upheld.. n. korea missle fired... amongst other bad news 
1147665,4, i love talking to people that i love
1025449,4,"@sal52 madre, don't get mad at me for leaving you this wknd! I love you dearly "
39975,0,is tired and achy 
1497438,4,@smallbizlady  good evening how did the presentation go? 
245953,0,"Trains put me in a whingy, whiney, moany mood... "
1059579,4,@HennArtOnline Thanks so much for your kind words - I've had some great role models here on Twitter. 
93726,0,@mozy19 same here!! I already did  was getting way to annoying... I finally look like I'm civilized again LOL
1388639,4,"Im awake! haha, gig was awesome. got poster signed  by the band woooooop "
497117,0,hurt my sholder saturday. no work out today 
1102257,4,@TRobin40 I'm in South Carolina &amp; I drive a Freightliner Columbia it has 474173 miles on it &amp; starts everytime 
830664,4,Gotta get out of bed ... Must ... Shoot ... Engagement ... Session ... In ... Antwerp. Head = ouch! Body = wrecked. Face = smiling 
191712,0,I have not slept all night and in HUGE amounts of pain  that said I shall try not to whine.  Another beautiful day though 
1061247,4,@MarkHeartofBiz  Happy 10th anniversary to you two! - tomorrow that is 
65239,0,@iamerika haha. hopefully I finish soon 
1240157,4,"Is out of the jungle early, hell yes. "
136072,0,"Good morning all, today is Friday, &amp; I have an exam  &amp; it's german Reading (N) gunna SUCK. Meh. It's also 7:45am &amp; I had to getvup at 8:30"
1474655,4,@Awesome_Tie things like big fish little fish cardboard box (&lt;3) and like the pizza hut song or woteva it is and fings like star trekking 
725611,0,i don't feel good 
1478396,4,@digtalmems diba? he's so hot na! hahahah  team jacob!
180257,0,"Man, I want the new sidekick LX. It comes in purple too.  My favorite color."
1325586,4,@ love's place 
1181129,4,i actually love the JPCSVP style 
582224,0,@jessicaengen hot damn i miss you! 
1456650,4,67/365; productive days that incorporate spending time with awesomediddly people and giving them 1000 cling-wrapped things 
869062,4,Tryin to learn 'Layla' on Guitar! 
520438,0,@anz_rocks19 awww... why why why 
444682,0,@emzyjonas I am annoyed now and getting really sick of it now  x
1073536,4,just got the blackberry today  i love it
1095309,4,@B0RR15 hahhaa  are you okay? had a good half term?
11064,0,her performance was pretty poor 
483759,0,OMG The Curious Case of Benjamin Button is so sad 
1143185,4,@designerpens do them a favor &amp; post ur review here. http://bit.ly/190TXy  
138273,0,At work a lot of mail today  also running late but still 4 T
191054,0,Soo the first job is over @ 3am. Quick snooze then the start of my real estate carreer begins at 10am today.. 
1795,0,"@Kal_Penn arrrggghhh, and I hadn't seen last night's episode yet! Pity to lose you, though. "
897250,4,"Going to see wolverine today, then star trek on friday! Getting a watchmen t-shirt and some posters! and thus begins this weeks geek out "
282385,0,I've had hiccups for the last half hour.   I can't get rid of them.
427719,0,@KevinInChains But I'm watching 30 Rock 
723882,0,"@ThisModernDeath Ah, my phone has been locking as in the totally unresponsive sense.  "
1192732,4,bed time! well off to read more of breaking dawn first  night xxx
239813,0,Am now making 'Can You Guess the Sound?' idents. This is crap. I'd much rather be outside in the sun. 
955569,4,exam...so I still have to learn a lot :S Anyway...Have a nice Sunday 
494888,0,I have had the hiccups since midnight yesterday. If I have to hiccup for another day I swear I will shoot myself 
998915,4,on the road to becoming a dog shelter volunteer.  
92956,0,fact i hate bout my hair ; when i try to straighten a part of my bangs it just goes frizzy..and not straight 
697955,0,@dbhata I want to go again too!!!! 
8720,0,My iTunes just deleted ALL songs off my iPod!!! NOOO!!! Ugh! 
70300,0,"&quot;megan: im going to right a song. me: look to your write, not your left.&quot; lol. wow. goodnight. stomach ache. "
435412,0,@azrillunatic nope I don't have that 
1256507,4,It's been quite a day.! Excuse The Mess press is ready to go... and you wont believe who's headlining!! 26th June... say peeled! 
141219,0,@usagijen pede na nga pang sales rep. hahah. ok yan ah. now if only we had a fullybooked store around here 
1363980,4,@24Lakers7 Yeah I did try animalstyle...4the first time.   I'll have those again but minus grilled onions. --they put a little 2much 4me.
636913,0,Why is it that when there is a perfect opportunity for someone to kiss you like on a bridge in the park at night. They don't 
1366471,4,Photo: i want THIS ONE!! to match my black kitten  //via fuckyeahbabyanimals: http://tumblr.com/x5w1yoonx
566095,0,off to pick up my camera equipment instead of cuddling wit mia 
771826,0,"@material_elle lol i know it's an ace name, it's poorly though "
660724,0,Sunburn...... :*(........ ouch.......   
411551,0,"@yourmotherr no  i can't go pick her up now, and we might not get to hangout  whens the thing over?"
1528444,4,@BeautifulSoul_ I think I heard that song.. but I don't know the title..! Cud u plz tell me? 
1242126,4,revision done for today gonna make a curry for dinner mmmmm.... jalfrezzi i think .....did i spell that right....think so 
1018299,4,i scored 27 on stableford. The winner had 35. I'm very proud of myself 
283003,0,I took AirFrance 4 times this past semester... 2ce in the past month... scary.. 
1059858,4,@BlueButterfly6 WHOA! That's soooooo hot! Is that from New Moon? I'm guessing. 
456913,0,@MaxsyA I miss you too!!  I'm coming back I promise!!
815428,4,@ryoniyk   congrats!  he's adorable
1162651,4,@Noway57 Yep. Super happy weekend. Spent an overnight swimming with my whole family in Laguna..  How's your weekend over there?
338245,0,says GRABE guys! Ang ganda nung theme nung debut ni ate! (woot) kaso meron ba sya?  http://plurk.com/p/y2sl1
1598704,4,"Hooome! Made it through the day...  Can't wait for dinner, starving!!!"
696008,0,Waiting for her boyfriend to come home... 
350324,0,"@yourmystarO27 Oh no, Nuggets today   I can't keep up. Jealousy makes me hungry"
573126,0,"@mcleodd Grrrr, iBurst, 20KB/s, 1 hour 48 minutes to go  for my 3.0 fix."
402580,0,My baby's gone to graduate! 
140391,0,"6:20am, going to try sleeping now, hope it's not an epic fail "
674244,0,Just watched Die Hard 2.. Knee hurts  Going to bed!! I love her so much!
422556,0,@DarkGX aw.. i got nothin for now... too tired 
467648,0,One hour of study left for today... ahhh getting so tired and sore from it 
1051245,4,Going off for some jolly Friday Frolicking now  Bye!
377993,0,"According to mothers I'm too fat and ugly to get in..., so angry!!!!  not fair!!!"
497063,0,make it real easy. argh! what a waste of time 
1116017,4,Chilling in LHR with a nice glass of red. People watching is fun 
91860,0,Its nearly 4am and I'm still awake  I hate having trouble with sleep
1087250,4,try to dance the hoedown throwdown again! really difficult but funny 
1572288,4,heading to bed.   nighty ngiht all!!
1192659,4,"@istaraen I don't know how I remember that you like Blueberry Scone candles, but the huge ones are 2/$25 at Yankee Candle right now. "
1215318,4,"@voidnothings LOL just as we were talking they updated the site for guest users, if you log out now it should still work "
1030578,4,@whoopseedaisy. And you will always have me 
100338,0,BTW Good morning Twitterville! @TalkingWithTami I hope you don't have what I am STILL trying to shake! @Enchantedpr too.  Get well soon.
1293523,4,@HollieLivens Hugie wasn't even in there! I'm now tweeting and your in form! HAHA  xx
1220570,4,@AlexanderRybak I have already joined and love reading your updates 
1379123,4,Just got home from the bar. So much fun!! Got a few free shots for my birthday!!!  Going to crash now. Goodnight!!!!!!!
761816,0,@VictoriaDahl personally I find it a hard sell unless they're 17. Read one famous rom. everyone else loved but I couldn't buy into it. 
459410,0,"Damn the Magic couldn't pull it off.. its gonnabe hard for them to pull a comeback now  .. gotta play hard to the 5 power, fo real!!"
174672,0,i just watched Marley &amp; Me...i cried so hard! 
1414417,4,http://twitpic.com/6rj24 - Ready for recital!!! Good luck k-squad! Love u all! 
1180689,4,bout to eat some WAFFLES 
1126654,4,@nursedoublek absolutely!!  I'd love it 
1398651,4,"@theCraigWright hmmm..let's see...Burlington...well, it IS  a nice day for a drive.  I DO have a thermos.  So...maybe "
473676,0,I wish I was on a train going to are our jonas boys 
1171295,4,"Woot! Yogg Saron down! 3rd week of attempts but 3rd on server, 1st on Horde  Weee!! (Who THAT means anything to will be revealing hehe)"
1498772,4,Time for some @311 &amp; @NickHexum to lift my spirits!!  Road to 311 Day DVD!!   They never fail to put a smile on my face!!!  love them!!
890009,4,"@zombiefly No, it's definitely &quot;lock&quot;.  &quot;Loch&quot; is the Scottish one "
1528773,4,@Mummy_fitz still ate it but... 
1271371,4,@rodriguezralph Is Obama car jacking everyone on account of the GM deal??  Sorry.  
1190941,4,skateboarding at East York Skate park. every time i go there i get better 
458838,0, Randy Lost
1531978,4,@chicagoblues60 Thats cold of us here!  
169608,0,@dmann11 All those links on AICN are broken. Did they get slapped? 
